movie_id,movie_name,genre,year,box_office,box_office_source,value_origin,amount_match_project2
tt0227445,The Score,"Crime,Drama,Thriller",2001,71107711,project_2_override,derived_from_db,True
tt0227538,Spy Kids,"Action,Adventure,Comedy",2001,112719001,project_2_override,derived_from_db,True
tt0229260,Book of Shadows: Blair Witch 2,"Adventure,Fantasy,Horror",2000,26437094,project_2_override,derived_from_db,True
tt0230011,Atlantis: The Lost Empire,"Action,Adventure,Animation",2001,84056472,project_2_override,derived_from_db,True
tt0230030,Bedazzled,"Comedy,Fantasy",2000,37886980,project_2_override,derived_from_db,True
tt0231402,Crocodile Dundee in Los Angeles,"Adventure,Comedy,Crime",2001,25635682,project_2_override,derived_from_db,True
tt0231775,Down to Earth,"Comedy,Fantasy",2001,64186502,project_2_override,derived_from_db,True
tt0235327,Dark Days,Documentary,2000,309648,project_2_override,derived_from_db,True
tt0235679,Pokémon 3 the Movie: Spell of the Unown,"Action,Adventure,Animation",2000,17052128,project_2_override,derived_from_db,True
tt0236493,The Mexican,"Adventure,Comedy,Drama",2001,66845033,project_2_override,derived_from_db,True
tt0237572,The Pledge,"Crime,Drama,Mystery",2001,19733089,project_2_override,derived_from_db,True
tt0238924,The Dangerous Lives of Altar Boys,"Comedy,Drama",2002,1815864,project_2_override,derived_from_db,True
tt0239395,Cats & Dogs,"Action,Adventure,Comedy",2001,93385515,project_2_override,derived_from_db,True
tt0239949,Say It Isn't So,"Comedy,Romance",2001,5520393,project_2_override,derived_from_db,True
tt0239986,Sidewalks of New York,"Comedy,Romance",2001,2402652,project_2_override,derived_from_db,True
tt0240149,The Girl from Paris,"Comedy,Drama",2001,183266,project_2_override,derived_from_db,True
tt0240462,Dr. Dolittle 2,"Comedy,Family,Fantasy",2001,112952899,project_2_override,derived_from_db,True
tt0240510,The Four Feathers,"Adventure,Drama,Romance",2002,18306166,project_2_override,derived_from_db,True
tt0240772,Ocean's Eleven,"Crime,Thriller",2001,183417150,project_2_override,derived_from_db,True
tt0240890,Serendipity,"Comedy,Romance",2001,50294317,project_2_override,derived_from_db,True
tt0240980,Till Human Voices Wake Us,"Drama,Romance",2002,120601,project_2_override,derived_from_db,True
tt0241025,Vanity Fair,Drama,2004,16136476,project_2_override,derived_from_db,True
tt0241760,The New Guy,Comedy,2002,29760152,project_2_override,derived_from_db,True
tt0242423,"Dude, Where's My Car?","Comedy,Mystery,Sci-Fi",2000,46729800,project_2_override,derived_from_db,True
tt0242998,Valentine,"Horror,Mystery,Thriller",2001,20384136,project_2_override,derived_from_db,True
tt0243017,Waking Life,"Animation,Drama,Fantasy",2001,2901447,project_2_override,derived_from_db,True
tt0243255,Fat Girl,Drama,2001,725854,project_2_override,derived_from_db,True
tt0243585,Stuart Little 2,"Adventure,Comedy,Family",2002,64956806,project_2_override,derived_from_db,True
tt0243736,40 Days and 40 Nights,"Comedy,Romance",2002,37950822,project_2_override,derived_from_db,True
tt0244000,American Outlaws,"Action,Drama,Western",2001,13342790,project_2_override,derived_from_db,True
tt0244244,Swordfish,"Action,Crime,Thriller",2001,69772969,project_2_override,derived_from_db,True
