"movie_id","movie_name","genre","year"
"tt7026672","Every Day","Drama,Fantasy,Romance","2018"
"tt7040874","A Simple Favor","Comedy,Crime,Mystery","2018"
"tt7064498","Return of the Hero","Comedy,History","2018"
"tt7069210","The Conjuring: The Devil Made Me Do It","Horror,Mystery,Thriller","2021"
"tt7070818","Buddy Games","Comedy","2019"
"tt7074886","The Front Runner","Biography,Drama,History","2018"
"tt7075594","Our Time Will Come","Drama,War","2017"
"tt7078658","The Day Shall Come","Comedy,Crime","2019"
"tt7083526","Breakthrough","Biography,Drama","2019"
"tt7097896","Venom: Let There Be Carnage","Action,Adventure,Crime","2021"
"tt7112154","Asako I & II","Drama,Romance","2018"
"tt7125774","Balloon","Drama,History,Thriller","2018"
"tt7125860","If Beale Street Could Talk","Drama,Romance","2018"
"tt7126948","Wonder Woman 1984","Action,Adventure,Fantasy","2020"
"tt7131870","Wolf Warrior 2","Action,Adventure,Drama","2017"
"tt7134096","The Rhythm Section","Action,Drama,Mystery","2020"
"tt7137380","Destroyer","Action,Crime,Drama","2018"
"tt7137846","Breaking In","Action,Thriller","2018"
"tt7144666","The Black Phone","Horror,Mystery,Thriller","2021"
"tt7146812","Onward","Adventure,Animation,Comedy","2020"
"tt7153766","Unsane","Drama,Horror,Mystery","2018"
"tt7158430","Hearts Beat Loud","Comedy,Drama,Music","2018"
"tt7178226","The Cave","Documentary,War","2019"
"tt7201846","Cyrano, My Love","Comedy,Drama,History","2018"
"tt7204348","El Angel","Biography,Crime,Drama","2018"
"tt7207238","Jane","Biography,Documentary","2017"
"tt7208564","Blood Fest","Comedy,Horror","2018"
"tt7215444","The Final Year","Documentary","2017"
"tt7233726","Default","Drama,History","2018"
"tt7236034","I Want to Eat Your Pancreas","Animation,Drama,Family","2018"
"tt7242142","Blindspotting","Comedy,Crime,Drama","2018"
"tt7250056","Non-Fiction","Comedy,Drama,Romance","2018"
"tt7282468","Burning","Drama,Mystery,Thriller","2018"
"tt7294150","The Eight Hundred","Action,Drama,History","2020"
"tt7298400","Ash Is Purest White","Crime,Drama,Romance","2018"
"tt7322224","Triangle of Sadness","Comedy,Drama","2022"
"tt7329656","47 Meters Down: Uncaged","Adventure,Drama,Horror","2019"
"tt7334528","Uncle Drew","Comedy,Drama,Sport","2018"
"tt7339584","City Of Rock","Comedy,Music","2017"
"tt7347846","The Lodge","Drama,Horror,Mystery","2019"
"tt7365604","Dog Days","Comedy,Drama,Romance","2018"
"tt7388562","Paul, Apostle of Christ","Adventure,Biography,Drama","2018"
"tt7390646","Black and Blue","Action,Thriller","2019"
"tt7392014","Falling for Figaro","Comedy,Romance","2020"
"tt7420342","Killerman","Action,Thriller","2019"
"tt7422822","Greener Grass","Comedy","2019"
"tt7424200","Teen Titans GO! To the Movies","Action,Adventure,Animation","2018"
"tt7456310","Anna","Action,Thriller","2019"
"tt7466442","Bob's Burgers: The Movie","Adventure,Animation,Comedy","2022"
"tt7475540","The Price of Everything","Documentary","2018"
"tt7476236","Minding the Gap","Documentary,Sport","2018"
"tt7504726","The Call of the Wild","Adventure,Drama,Family","2020"
"tt7504818","Ron's Gone Wrong","Adventure,Animation,Comedy","2021"
"tt7510346","The Turning","Drama,Horror,Mystery","2020"
"tt7518786","'83","Biography,Drama,History","2021"
"tt7521990","Golden Job","Action,Adventure,Crime","2018"
"tt7543930","In Safe Hands","Drama","2018"
"tt7545266","Like a Boss","Comedy","2020"
"tt7545524","Ben Is Back","Drama","2018"
"tt7545566","Skate Kitchen","Drama","2018"
"tt7547410","Dora and the Lost City of Gold","Action,Adventure,Comedy","2019"
"tt7549996","Judy","Biography,Drama,Music","2019"
"tt7587876","Hope Gap","Drama,Romance","2019"
"tt7616148","Luce","Drama,Mystery,Thriller","2019"
"tt7616798","A Dog's Way Home","Adventure,Drama,Family","2019"
"tt7645502","Namiya","Drama,Family,Fantasy","2017"
"tt7657566","Death on the Nile","Crime,Drama,Mystery","2021"
"tt7664504","Three Identical Strangers","Biography,Documentary,Drama","2018"
"tt7668870","Searching","Drama,Mystery,Thriller","2018"
"tt7671064","Brittany Runs a Marathon","Comedy,Drama","2019"
"tt7681824","We the Animals","Drama","2018"
"tt7681902","Won't You Be My Neighbor?","Biography,Documentary,History","2018"
"tt7689484","On Her Shoulders","Biography,Documentary","2018"
"tt7690670","SuperFly","Action,Crime,Thriller","2018"
"tt7692966","The Third Wife","Drama","2018"
"tt7711170","Alone","Drama,Mystery,Thriller","2020"
"tt7734218","Stuber","Action,Comedy,Crime","2019"
"tt7736478","The Traitor","Biography,Crime,Drama","2019"
"tt7737734","The Other Lamb","Drama,Horror,Mystery","2019"
"tt7740496","Nightmare Alley","Crime,Drama,Thriller","2021"
"tt7740510","Antlers","Drama,Horror,Mystery","2021"
"tt7743588","Goldbuster","Comedy,Fantasy","2017"
"tt7745068","My Hero Academia: Two Heroes","Action,Adventure,Animation","2018"
"tt7752126","Brightburn","Drama,Fantasy,Horror","2019"
"tt7752454","Detective Chinatown 2","Action,Comedy,Crime","2018"
"tt7772582","Never Rarely Sometimes Always","Drama","2020"
"tt7775622","Free Solo","Adventure,Documentary,Sport","2018"
"tt7798634","Ready or Not","Action,Comedy,Horror","2019"
"tt7798646","The Photograph","Drama,Romance","2020"
"tt7870578","Girls vs Gangsters","Comedy,Drama","2018"
"tt7875464","The Heiresses","Drama","2018"
"tt7888964","Nobody","Action,Crime,Drama","2021"
"tt7905466","They Shall Not Grow Old","Documentary,History,War","2018"
"tt7942742","Her Smell","Drama,Music","2018"
