movie_id,movie_name,genre,User Rating,Tomatometer,Popcornmeter,RT URL,box_office,box_office_source
tt0470752,Ex Machina,"Drama, Sci-Fi, Thriller",Not found,9,NF,https://www.rottentomatoes.com/m/the_terminator,,missing
tt4633694,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",Not found,9.1,NF,https://www.rottentomatoes.com/m/terminator_2_judgment_day,,missing
tt1677720,Ready Player One,"Action, Adventure, Sci-Fi",Not found,9.2,NF,https://www.rottentomatoes.com/m/ex_machina,,missing
tt0145487,Spider-Man,"Action, Adventure, Sci-Fi",Not found,9.7,NF,https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse,,missing
tt0090605,Aliens,"Action, Adventure, Sci-Fi",Not found,7.1,NF,https://www.rottentomatoes.com/m/ready_player_one,,missing
tt0119116,The Fifth Element,"Action, Adventure, Sci-Fi",Not found,9,NF,https://www.rottentomatoes.com/m/spider_man,,missing
tt1355644,Passengers,"Drama, Romance, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/aliens,100014699.0,reference
tt12361974,Zack Snyder's Justice League,"Action, Adventure, Fantasy",Not found,7.1,NF,https://www.rottentomatoes.com/m/the_fifth_element,,missing
tt1483013,Oblivion,"Action, Adventure, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/passengers,89107235.0,reference
tt0246578,Donnie Darko,"Drama, Mystery, Sci-Fi",Not found,7.1,NF,https://www.rottentomatoes.com/m/zack_snyders_justice_league,,missing
tt0062622,2001: A Space Odyssey,"Adventure, Sci-Fi",Not found,2.6,NF,https://www.rottentomatoes.com/m/oblivion,,missing
tt0075860,Close Encounters of the Third Kind,"Drama, Sci-Fi",Not found,8.8,NF,https://www.rottentomatoes.com/m/donnie_darko,,missing
tt0319262,The Day After Tomorrow,"Action, Adventure, Sci-Fi",Not found,9,NF,https://www.rottentomatoes.com/m/2001_a_space_odyssey,186740799.0,reference
tt0407304,War of the Worlds,"Action, Adventure, Sci-Fi",Not found,9.1,NF,https://www.rottentomatoes.com/m/close_encounters_of_the_third_kind,,missing
tt0770828,Man of Steel,"Action, Adventure, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/the_day_after_tomorrow,291045518.0,reference
tt0458339,Captain America: The First Avenger,"Action, Adventure, Sci-Fi",Not found,7.6,NF,https://www.rottentomatoes.com/m/war_of_the_worlds,176654505.0,reference
tt2543164,Arrival,"Drama, Mystery, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/man_of_steel,,missing
tt3315342,Logan,"Action, Drama, Sci-Fi",Not found,8,NF,https://www.rottentomatoes.com/m/captain_america_the_first_avenger,,missing
tt5834426,Moonfall,"Action, Adventure, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/arrival,19060660.0,reference
tt6823368,Glass,"Drama, Horror, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/logan,111048468.0,reference
tt10838180,The Matrix Resurrections,"Action, Sci-Fi",Not found,3.5,NF,https://www.rottentomatoes.com/m/moonfall,37686805.0,reference
tt2527338,Star Wars: The Rise Of Skywalker,"Action, Adventure, Fantasy",Not found,NF,NF,https://www.rottentomatoes.com/m/glass,,missing
tt4513678,Ghostbusters: Afterlife,"Adventure, Comedy, Fantasy",Not found,6.3,NF,https://www.rottentomatoes.com/m/the_matrix_resurrections,129360575.0,reference
tt3659388,The Martian,"Adventure, Drama, Sci-Fi",Not found,5.1,NF,https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,,missing
tt0387808,Idiocracy,"Adventure, Comedy, Sci-Fi",Not found,6.3,NF,https://www.rottentomatoes.com/m/ghostbusters_afterlife,444093.0,reference
tt0093870,RoboCop,"Action, Crime, Sci-Fi",Not found,9.1,NF,https://www.rottentomatoes.com/m/the_martian,,missing
tt3480822,Black Widow,"Action, Adventure, Sci-Fi",Not found,7.1,NF,https://www.rottentomatoes.com/m/idiocracy,,missing
tt9376612,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",Not found,5,NF,https://www.rottentomatoes.com/m/robocop,224543292.0,reference
tt1840309,Divergent,"Action, Adventure, Mystery",Not found,5,NF,https://www.rottentomatoes.com/m/robocop,150947895.0,reference
tt0120915,Star Wars: Episode I - The Phantom Menace,"Action, Adventure, Fantasy",Not found,NF,NF,https://www.rottentomatoes.com/m/black_widow,,missing
tt0848228,The Avengers,"Action, Sci-Fi",Not found,9.2,NF,https://www.rottentomatoes.com/m/shang_chi_and_the_legend_of_the_ten_rings,,missing
tt1441395,Under the Skin,"Drama, Horror, Mystery",Not found,4.1,NF,https://www.rottentomatoes.com/m/divergent,,missing
tt0418279,Transformers,"Action, Adventure, Sci-Fi",Not found,5.4,NF,https://www.rottentomatoes.com/m/star_wars_episode_i_the_phantom_menace,319246193.0,reference
tt2488496,Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",7.7,NF,NF,https://www.rottentomatoes.com/m/the_avengers,,missing
tt5108870,Morbius,"Action, Adventure, Horror",Not found,9,NF,https://www.rottentomatoes.com/m/under_the_skin,73865530.0,reference
tt20969586,Thunderbolts,"Action, Adventure, Crime",Not found,NF,NF,https://www.rottentomatoes.com/m/transformers,,missing
tt0371746,Iron Man,"Action, Adventure, Sci-Fi",Not found,9.3,NF,https://www.rottentomatoes.com/m/star_wars_episode_vii_the_force_awakens,,missing
tt0289043,28 Days Later,"Drama, Horror, Sci-Fi",Not found,1.5,NF,https://www.rottentomatoes.com/m/morbius,,missing
tt1790864,The Maze Runner,"Action, Mystery, Sci-Fi",Not found,8.8,NF,https://www.rottentomatoes.com/m/thunderbolts,102427862.0,reference
tt1446714,Prometheus,"Adventure, Mystery, Sci-Fi",Not found,9.4,NF,https://www.rottentomatoes.com/m/iron_man,126477084.0,reference
tt1190080,2012,"Action, Adventure, Sci-Fi",Not found,8.7,NF,https://www.rottentomatoes.com/m/28_days_later,,missing
tt8332922,A Quiet Place Part II,"Drama, Horror, Sci-Fi",Not found,6.6,NF,https://www.rottentomatoes.com/m/the_maze_runner,160072261.0,reference
tt1951266,The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/prometheus,,missing
tt0181689,Minority Report,"Action, Crime, Mystery",Not found,4,NF,https://www.rottentomatoes.com/m/2012,132072926.0,reference
tt2463208,The Adam Project,"Action, Adventure, Comedy",Not found,9.1,NF,https://www.rottentomatoes.com/m/a_quiet_place_part_ii,,missing
tt0816711,World War Z,"Action, Adventure, Horror",Not found,7,NF,https://www.rottentomatoes.com/m/the_hunger_games_mockingjay_part_2,,missing
tt2798920,Annihilation,"Adventure, Drama, Horror",Not found,8.9,NF,https://www.rottentomatoes.com/m/minority_report,,missing
tt9783600,Spiderhead,"Action, Crime, Drama",5.5,6.8,NF,https://www.rottentomatoes.com/m/the_adam_project,,missing
tt0084787,The Thing,"Horror, Mystery, Sci-Fi",Not found,6.7,NF,https://www.rottentomatoes.com/m/world_war_z,,missing
tt0884328,The Mist,"Horror, Sci-Fi, Thriller",Not found,8.8,NF,https://www.rottentomatoes.com/m/annihilation,,missing
tt1104001,Tron: Legacy,"Action, Adventure, Sci-Fi",Not found,3.9,NF,https://www.rottentomatoes.com/m/spiderhead,,missing
tt4881806,Jurassic World: Fallen Kingdom,"Action, Adventure, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/the_thing,,missing
tt0212720,A.I. Artificial Intelligence,"Drama, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/the_thing,,missing
tt3967856,Okja,"Action, Adventure, Drama",Not found,7.4,NF,https://www.rottentomatoes.com/m/the_mist,,missing
tt0409459,Watchmen,"Action, Drama, Mystery",Not found,NF,NF,https://www.rottentomatoes.com/m/tron_legacy,107509799.0,reference
tt3501632,Thor: Ragnarok,"Action, Adventure, Comedy",Not found,4.7,NF,https://www.rottentomatoes.com/m/jurassic_world_fallen_kingdom,,missing
tt0451279,Wonder Woman,"Action, Adventure, Fantasy",Not found,7.6,NF,https://www.rottentomatoes.com/m/ai_artificial_intelligence,,missing
tt0437086,Alita: Battle Angel,"Action, Adventure, Sci-Fi",Not found,6.4,NF,https://www.rottentomatoes.com/m/okay,85838210.0,reference
tt0119654,Men in Black,"Action, Adventure, Comedy",Not found,6.5,NF,https://www.rottentomatoes.com/m/watchmen,,missing
tt1477834,Aquaman,"Action, Adventure, Fantasy",Not found,9.3,NF,https://www.rottentomatoes.com/m/thor_ragnarok,,missing
tt2975590,Batman v Superman: Dawn of Justice,"Action, Adventure, Sci-Fi",Not found,8.5,NF,https://www.rottentomatoes.com/m/wonder_woman,,missing
tt0116996,Mars Attacks!,"Comedy, Sci-Fi",Not found,6.1,NF,https://www.rottentomatoes.com/m/alita_battle_angel,,missing
tt2250912,Spider-Man: Homecoming,"Action, Adventure, Sci-Fi",Not found,9.1,NF,https://www.rottentomatoes.com/m/men_in_black,,missing
tt3896198,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy",Not found,6.6,NF,https://www.rottentomatoes.com/m/aquaman,,missing
tt0093773,Predator,"Action, Adventure, Horror",Not found,2.8,NF,https://www.rottentomatoes.com/m/batman_v_superman_dawn_of_justice,,missing
tt0080684,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",Not found,5.6,NF,https://www.rottentomatoes.com/m/mars_attacks,,missing
tt0120591,Armageddon,"Action, Adventure, Sci-Fi",Not found,9.2,NF,https://www.rottentomatoes.com/m/spider_man_homecoming,,missing
tt2222042,Love and Monsters,"Action, Adventure, Comedy",Not found,8.5,NF,https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_2,1070714.0,reference
tt1951265,The Hunger Games: Mockingjay - Part 1,"Action, Adventure, Sci-Fi",Not found,6.4,NF,https://www.rottentomatoes.com/m/predator,337135885.0,reference
tt3371366,Transformers: The Last Knight,"Action, Adventure, Sci-Fi",Not found,9.3,NF,https://www.rottentomatoes.com/m/star_wars_episode_v_the_empire_strikes_back,130168683.0,reference
tt0087332,Ghostbusters,"Action, Comedy, Fantasy",Not found,4.3,NF,https://www.rottentomatoes.com/m/armageddon,,missing
tt0369610,Jurassic World,"Action, Adventure, Sci-Fi",Not found,9.4,NF,https://www.rottentomatoes.com/m/love_and_monsters,,missing
tt0087182,Dune,"Action, Adventure, Sci-Fi",Not found,7,NF,https://www.rottentomatoes.com/m/the_hunger_games_mockingjay_part_1,,missing
tt0086190,Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",Not found,1.6,NF,https://www.rottentomatoes.com/m/transformers_the_last_knight,,missing
tt2395427,Avengers: Age of Ultron,"Action, Adventure, Sci-Fi",Not found,9.5,NF,https://www.rottentomatoes.com/m/ghostbusters,,missing
tt0119081,Event Horizon,"Horror, Sci-Fi, Thriller",Not found,7.2,NF,https://www.rottentomatoes.com/m/jurassic_world,,missing
tt0120201,Starship Troopers,"Action, Adventure, Sci-Fi",Not found,8.3,NF,https://www.rottentomatoes.com/m/star_wars_episode_vi_return_of_the_jedi,,missing
tt0120903,X-Men,"Action, Adventure, Sci-Fi",Not found,7.5,NF,https://www.rottentomatoes.com/m/avengers_age_of_ultron,157299718.0,reference
tt0083866,E.T.,"Adventure, Family, Sci-Fi",Not found,3.6,NF,https://www.rottentomatoes.com/m/event_horizon,,missing
tt0910970,WALL·E,"Animation, Adventure, Family",Not found,7.2,NF,https://www.rottentomatoes.com/m/starship_troopers,,missing
tt0100802,Total Recall,"Action, Adventure, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/x_men,,missing
tt8228288,The Platform,"Horror, Sci-Fi, Thriller",Not found,9.9,NF,https://www.rottentomatoes.com/m/et,,missing
tt0086567,WarGames,"Action, Drama, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/walle,,missing
tt8912936,DC League of Super-Pets,"Animation, Action, Adventure",6.8,8.1,NF,https://www.rottentomatoes.com/m/total_recall,93657117.0,reference
tt3498820,Captain America: Civil War,"Action, Sci-Fi",Not found,8.1,NF,https://www.rottentomatoes.com/m/total_recall,,missing
tt12412888,Sonic the Hedgehog 2,"Action, Adventure, Comedy",Not found,8.1,NF,https://www.rottentomatoes.com/m/the_platform,190872904.0,reference
tt0993840,Army of the Dead,"Action, Crime, Drama",Not found,9.3,NF,https://www.rottentomatoes.com/m/wargames,,missing
tt0974015,Justice League,"Action, Adventure, Fantasy",Not found,7.2,NF,https://www.rottentomatoes.com/m/dc_league_of_super_pets,,missing
tt6450804,Terminator: Dark Fate,"Action, Adventure, Sci-Fi",Not found,9,NF,https://www.rottentomatoes.com/m/captain_america_civil_war,62253077.0,reference
tt2737304,Bird Box,"Horror, Mystery, Sci-Fi",Not found,6.9,NF,https://www.rottentomatoes.com/m/sonic_the_hedgehog_2,,missing
tt0796366,Star Trek,"Action, Adventure, Sci-Fi",Not found,1.4,NF,https://www.rottentomatoes.com/m/army_of_the_dead,,missing
tt0090305,Weird Science,"Comedy, Romance, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/justice_league,,missing
tt0217869,Unbreakable,"Drama, Mystery, Sci-Fi",Not found,7,NF,https://www.rottentomatoes.com/m/terminator_dark_fate,95011339.0,reference
tt4154664,Captain Marvel,"Action, Adventure, Sci-Fi",Not found,6.4,NF,https://www.rottentomatoes.com/m/bird_box,,missing
tt5442430,Life,"Horror, Sci-Fi, Thriller",Not found,9.4,NF,https://www.rottentomatoes.com/m/star_trek,30234022.0,reference
tt0434409,V for Vendetta,"Action, Drama, Sci-Fi",Not found,NF,NF,https://www.rottentomatoes.com/m/weird_science,,missing
tt2316204,Alien: Covenant,"Horror, Sci-Fi, Thriller",Not found,7,NF,https://www.rottentomatoes.com/m/unbreakable,,missing
tt0293429,Mortal Kombat,"Action, Adventure, Fantasy",Not found,7.9,NF,https://www.rottentomatoes.com/m/captain_marvel,42326031.0,reference
tt0079501,Mad Max,"Action, Adventure, Sci-Fi",Not found,5.3,NF,https://www.rottentomatoes.com/m/life,,missing
tt0343818,"I, Robot","Action, Mystery, Sci-Fi",Not found,7.3,NF,https://www.rottentomatoes.com/m/v_for_vendetta,144801023.0,reference
tt2527336,Star Wars: Episode VIII - The Last Jedi,"Action, Adventure, Fantasy",Not found,6.5,NF,https://www.rottentomatoes.com/m/alien_covenant,,missing
